,smiles
187,C=C(C)CC(C)C(=O)NC1=CN=CN=C1N2C=CC=N2
188,C=C(C)CCN(CC(=O)NC)C(=O)C1=CC=C(NC(C)=O)C(F)=C1
189,C=C(C)CN(C)C=1C=CC(Br)=C(N1)S(=O)(=O)N2CCOCC2CC3CCOC3
190,C=C(C)CN(CC=1C=CC=CC1)C(=O)C(=O)NC=2C=CC=3CCNC(=O)C3C2
191,C=C(C)CN1C(=NN=C1N2CCC(C)(COC)CC2)C3=CN=CC=N3
192,C=C(C)CN1C(=NN=C1N2CCC3(CCCCO3)CC2)C(O)C4CC4
193,C=C(C)CN1CCC(CC1)NC(=O)C2CCCN(C2)C(=O)C(C)(C)C
194,C=C(C)CN1CCC(CC1)NC(=O)NCC(=O)NC(C)C
195,C=C1CC(C)(C1)C(=O)N[C@H]2CCCCC[C@H]2NC(=O)C3(C)CC(=C)C3
196,C=C1CC1C(=O)N(C)CCN(C)C(=O)C=2C=C3C=CC=CC3=C(N2)OC
197,C=C1CC2CCC(C1)N2CC3=CSC(=N3)C=4C=CC=C(C4)C(=O)O
198,C=C1CCC(CNC2=NC(C)=CC=C2S(=O)(=O)N3C4CCCC3CC(=O)NC4)CC1
199,C=C1CCN(C1)C(=O)NC2=NN=C(SCC=3C=CC=CC3)S2
200,C=C1CCN(CC1)C(=O)NCC=2C=C(C=CC2OC(F)F)OC
201,C=C1CCN(CC1)C(=O)NCC=2C=CC(=CC2)S(=O)(=O)NC3CC3
202,C=C1COC2=C(C=NN2C1)C(=O)NCC3=NNC4=CC=C(Cl)C=C34
203,C=CC(COC)NC(=O)N1CCC(CC1)C2=CN=CN2C
204,C=CC=1C=CC=CC1OCC(=O)NC(C)C(=O)N2CCCCC2
205,C=CCC(C)NC(=O)CCC1=CNC=2C=CC=CC12
206,C=CCC(CC)NC(=O)NCC1=NN=C2C(Cl)=CC(=CN12)C(F)(F)F
207,C=CCC(NC(=O)C=1C=CC(Cl)=C(C1)C2=CN(N=N2)C3CCCN(CC)C3=O)C(=O)O
208,C=CCC1(CCCCC1)C(=O)NC2CCN(CC2CO)C(=O)OC(C)(C)C
209,C=CCC1(CCN(C1)C(=O)C=2N=NNC2C3CC3)C(=O)OCC
210,C=CCC1(CCOCC1)NC(=O)C=2N=NNC2C=3C=CC=CC3
211,C=CCC1(O)CN(C1)S(=O)(=O)C=2C=NN(C2)C3CCCC3
212,C=CCC=1C=CC=CC1OCC(O)CN2N=C(OC2=O)C3=CC=CO3
213,C=CCCC(=O)NC1=NC(=CS1)C=2C=CC(=CC2)NS(C)(=O)=O
214,C=CCCC=1C=CC(=CC1)S(=O)(=O)NC=2C=CC=3OC(=O)C=C(O)C3C2
215,C=CCN(C(=O)CC=1C=CC=CC1[N+]([O-])=O)C2CCS(=O)(=O)C2
216,C=CCN(C)C=1C=CC(=CC1C(=O)N[C@H](C)C(=O)O)S(N)(=O)=O
217,C=CCN(C=1C=CC(F)=CC1)S(=O)(=O)C=2C=C(C=CC2Cl)C(=O)O
218,C=CCN(C=1C=CC=CC1)S(=O)(=O)C=2C=C(C=CC2Cl)C(=O)O
219,C=CCN(CC(=O)NC=1C=CC=CC1C)S(=O)(=O)C=2C=CC(C)=CC2
220,C=CCN(CC1=CC=CS1)C(=O)C2=CN=C3C(C=NN3C(C)C)=C2
221,C=CCN(CC=1C=CC(=CC1)OC)C(=O)NC2=NC(=NS2)C(F)(F)F
222,C=CCN1C(=NC=2C=CC=CC21)SCC(=O)NC=3C=CC=C(C3)NC(C)=O
223,C=CCN1C(=NN=C1C2=CC=C(Cl)C=C2Cl)SC(C)C(N)=O
224,C=CCN1C(=NN=C1C=2C=CC=CC2)SCCC3COC3
225,C=CCN1C(=O)C=2C(=CSC2N=C1SCC(=O)NCC3=CC=CO3)C=4C=CC(C)=CC4
226,C=CCN1C(=O)C=2C=CC=CC2N3C(=NN=C13)SCC(=O)O
227,C=CCN1C(N)=NN=C1SCC=2C=CC=C(C)C2
228,C=CCN1C=CC=C1C(=O)NCC=2C(C)=NN(C2C)C=3C=CC=CC3
229,C=CCN1CCC(C1=O)N2C=NC=3C=4C=CC=NC4SC3C2=O
230,C=CCN1CCC(CC1)NC2CC3(CC3NC(=O)OC(C)(C)C)C2
231,C=CCN1N=CC=2C(=O)NC(=NC21)NCCC=3N=CC=NC3C
232,C=CCNC(=O)CC1(CC(=O)NC2=NC=CS2)CCCCC1
233,C=CCNC(=O)CN1CCCC=2C=CC=C(F)C21
234,C=CCNC(=O)CN1CCCN(CC(=O)NCC=C)C2=CC=CC=C21
235,C=CCNC(=O)CN1CCN(CC(=O)NC(=O)NC2CC2)CC1
236,C=CCNC(=O)CN1CCN(CC1)C2CCCN(C2=O)C(C)C
237,C=CCNC(=O)CNC(C)(C)C=1C=CC=C(C1)C(F)(F)F
238,C=CCNC(=O)NCCC=1C=CC=2OCCOC2C1
239,C=CCNC1=C(N=NC2=CC=CC=C12)C(=O)N3CC4CC4C3
240,C=CCNC1=NN=C(SCC2=NC(=NO2)C=3C=CC=C(C3)OC)S1
241,C=CCNC=1C=NN(C(=O)C1Cl)C=2C=CC=CC2
242,C=CCNS(=O)(=O)C=1C=C(C=CC1Cl)C(F)(F)F
243,C=CCOC=1C=CC(=CC1)CN(C)CC(=O)NC2CCCCC2C
244,C=CCOC=1C=CC(=CC1OC)CNC2CCCNC2=O
245,C=CCOC=1C=CC=C2NC(=CC12)C(=O)NCC=3N=CN(N3)C(C)C
246,C=CCOC=1C=CC=CC1CNC(=O)C=2C=NN(C2C)C=3C=CC(=O)NN3
247,C=CCOC=1C=CC=CC1CNC(=O)N[C@H]2CC[C@H](C)CC2
248,C=CCOCC(=O)N(CC1=NC=CN1CC)C2CC32CCNCC3
249,C=CCSC1=NC2=CC=CC=C2N1CC(=O)N3CCCCCC3
250,C=CCSC1=NN=C2N(C(=O)C3=CC=CC=C3N12)C=4C=C(C)C=CC4OC
251,C=CCSC=1C=CC=CC1NC(=O)C(=O)N2CCN(CC2)C(=O)C=3C=CC(F)=CC3
252,"C=C[C@@H]1OCC[C@H]1CNC(=O)N2CCOC(CS(C)(=O)=O)C2 |&1:2,6,r|"
253,"C=C[C@@H]1OCC[C@H]1NC(=O)C=2C=NN(CC(C)C)C2C(F)F |&1:2,6,r|"
254,"C=C[C@@H]1OCC[C@H]1NC(=O)C=2OC=3C=CC(Br)=CC3C2C |&1:2,6,r|"
255,"C=C[C@@H]1OCC[C@H]1NC(=O)NCCC2=CNC3=CC=C(C)C=C23 |&1:2,6,r|"
256,C=C[C@H](CO)NC(=O)C1=CC2=CC(=CC=C2N1)C(C)(C)C
257,CC#CCCN1CCC(CC2=NC(=NO2)C=3C=CC(F)=CN3)CC1
258,CC#CCNC(=O)CNS(=O)(=O)C=1C(C)=NOC1C
259,CC#CCOC=1C=CC=C2C(=O)N(C(=O)C12)C3CCC(=O)NC3=O
260,CC(=CC=1C=CC=CC1)CNC[C@@H]2CC(=O)N(C)[C@H]2C=3C=NN(C)C3C
261,CC(=O)N(C)C1=NC(=CS1)CN(C)C2CCC=3C=CC=CC32
262,CC(=O)N(C)C1CCN(CC(=O)N2CCCC2)CC1
263,CC(=O)N(C)C1CCN(CC1)C(=O)N[C@H](C)C=2C=CC(Cl)=CC2
264,CC(=O)N(C)C=1C=CC(=CN1)NC(=O)C(C)C=2C=NN(C)C2
